Año,Trimestre,Provincia,Accesos por cada 100 hogares
2019,2,catamarca,32.13
2019,2,chaco,34.14
2019,2,chubut,46.99
2019,2,córdoba,68.07
2019,2,corrientes,38.16
2019,2,entre ríos,57.48
2019,2,formosa,30.42
2019,2,jujuy,44.51
2019,2,la pampa,77.08
2019,2,la rioja,48.7
2019,2,mendoza,40.75
2019,2,misiones,39.15
2019,2,neuquén,63.08
2019,2,río negro,61.09
2019,2,salta,41.89
2019,2,san juan,35.6
2019,2,san luis,81.79
2019,2,santa cruz,28.85
2019,2,santa fe,67.42
2019,2,santiago del estero,52.79
2019,2,tierra del fuego,94.8
2019,2,tucumán,40.14
2019,1,buenos aires,66.24
2019,1,capital federal,76.53
2019,1,catamarca,32.19
2019,1,chaco,32.64
2019,1,chubut,43.0
2019,1,córdoba,65.52
2019,1,corrientes,35.13
2019,1,entre ríos,56.79
2019,1,formosa,29.68
2019,1,jujuy,46.41
2019,1,la pampa,76.35
2019,1,la rioja,50.18
2019,1,mendoza,37.66
2019,1,misiones,36.26
2019,1,neuquén,58.88
2019,1,río negro,53.57
2019,1,salta,40.1
2019,1,san juan,31.83
2019,1,san luis,67.34
2019,1,santa cruz,23.67
2019,1,santa fe,66.97
2019,1,santiago del estero,37.52
2019,1,tierra del fuego,93.38
2019,1,tucumán,41.63
2018,4,buenos aires,64.6
2018,4,capital federal,75.6
2018,4,catamarca,32.23
2018,4,chaco,32.59
2018,4,chubut,42.61
2018,4,córdoba,65.09
2018,4,corrientes,34.57
2018,4,entre ríos,54.37
2018,4,formosa,29.74
2018,4,jujuy,46.53
2018,4,la pampa,73.49
2018,4,la rioja,50.35
2018,4,mendoza,37.76
2018,4,misiones,34.45
2018,4,neuquén,59.07
2018,4,río negro,51.86
2018,4,salta,39.8
2018,4,san juan,31.9
2018,4,san luis,67.55
2018,4,santa cruz,23.69
2018,4,santa fe,65.59
2018,4,santiago del estero,37.4
2018,4,tierra del fuego,93.59
2018,4,tucumán,41.76
2018,3,buenos aires,64.44
2018,3,capital federal,75.78
2018,3,catamarca,32.92
2018,3,chaco,32.28
2018,3,chubut,56.39
2018,3,córdoba,64.24
2018,3,corrientes,34.25
2018,3,entre ríos,50.22
2018,3,formosa,29.58
2018,3,jujuy,23.26
2018,3,la pampa,71.75
2018,3,la rioja,50.73
2018,3,mendoza,37.99
2018,3,misiones,32.1
2018,3,neuquén,60.49
2018,3,río negro,50.54
2018,3,salta,39.43
2018,3,san juan,33.05
2018,3,san luis,52.35
2018,3,santa cruz,32.73
2018,3,santa fe,63.41
2018,3,santiago del estero,36.25
2018,3,tierra del fuego,92.77
2018,3,tucumán,41.68
2018,2,buenos aires,62.78
2018,2,capital federal,73.86
2018,2,catamarca,32.86
2018,2,chaco,31.25
2018,2,chubut,54.9
2018,2,córdoba,63.27
2018,2,corrientes,33.81
2018,2,entre ríos,49.2
2018,2,formosa,29.43
2018,2,jujuy,23.43
2018,2,la pampa,71.04
2018,2,la rioja,50.98
2018,2,mendoza,36.97
2018,2,misiones,31.63
2018,2,neuquén,60.24
2018,2,río negro,50.15
2018,2,salta,39.94
2018,2,san juan,32.95
2018,2,san luis,15.15
2018,2,santa cruz,33.33
2018,2,santa fe,62.57
2018,2,santiago del estero,35.26
2018,2,tierra del fuego,91.61
2018,2,tucumán,41.51
2018,1,buenos aires,62.63
2018,1,capital federal,73.57
2018,1,catamarca,32.79
2018,1,chaco,30.83
2018,1,chubut,53.72
2018,1,córdoba,63.52
2018,1,corrientes,32.66
2018,1,entre ríos,48.68
2018,1,formosa,21.4
2018,1,jujuy,23.12
2018,1,la pampa,71.75
2018,1,la rioja,51.44
2018,1,mendoza,37.07
2018,1,misiones,30.96
2018,1,neuquén,61.52
2018,1,río negro,49.82
2018,1,salta,39.78
2018,1,san juan,32.61
2018,1,san luis,15.15
2018,1,santa cruz,33.55
2018,1,santa fe,62.28
2018,1,santiago del estero,34.99
2018,1,tierra del fuego,65.2
2018,1,tucumán,41.18
2017,4,buenos aires,57.61
2017,4,capital federal,90.23
2017,4,catamarca,28.62
2017,4,chaco,30.81
2017,4,chubut,51.46
2017,4,córdoba,63.33
2017,4,corrientes,32.52
2017,4,entre ríos,47.89
2017,4,formosa,21.27
2017,4,jujuy,22.74
2017,4,la pampa,71.05
2017,4,la rioja,51.57
2017,4,mendoza,33.33
2017,4,misiones,31.14
2017,4,neuquén,61.24
2017,4,río negro,49.38
2017,4,salta,39.8
2017,4,san juan,30.3
2017,4,san luis,10.59
2017,4,santa cruz,28.91
2017,4,santa fe,61.71
2017,4,santiago del estero,29.13
2017,4,tierra del fuego,59.89
2017,4,tucumán,39.9
2017,3,buenos aires,55.63
2017,3,capital federal,89.19
2017,3,catamarca,32.49
2017,3,chaco,29.98
2017,3,chubut,46.22
2017,3,córdoba,62.31
2017,3,corrientes,32.17
2017,3,entre ríos,45.96
2017,3,formosa,21.35
2017,3,jujuy,22.65
2017,3,la pampa,69.14
2017,3,la rioja,51.47
2017,3,mendoza,35.7
2017,3,misiones,30.21
2017,3,neuquén,60.83
2017,3,río negro,48.52
2017,3,salta,39.84
2017,3,san juan,32.37
2017,3,san luis,15.48
2017,3,santa cruz,33.29
2017,3,santa fe,60.91
2017,3,santiago del estero,35.12
2017,3,tierra del fuego,65.74
2017,3,tucumán,39.7
2017,2,buenos aires,56.27
2017,2,capital federal,91.39
2017,2,catamarca,25.98
2017,2,chaco,29.05
2017,2,chubut,35.55
2017,2,córdoba,58.97
2017,2,corrientes,31.39
2017,2,entre ríos,45.39
2017,2,formosa,19.97
2017,2,jujuy,22.4
2017,2,la pampa,63.49
2017,2,la rioja,16.2
2017,2,mendoza,31.76
2017,2,misiones,30.09
2017,2,neuquén,61.91
2017,2,río negro,46.02
2017,2,salta,32.74
2017,2,san juan,26.96
2017,2,san luis,9.51
2017,2,santa cruz,26.25
2017,2,santa fe,52.27
2017,2,santiago del estero,14.12
2017,2,tierra del fuego,68.46
2017,2,tucumán,38.19
2017,1,buenos aires,58.57
2017,1,capital federal,75.7
2017,1,catamarca,25.66
2017,1,chaco,28.62
2017,1,chubut,35.66
2017,1,córdoba,57.65
2017,1,corrientes,30.94
2017,1,entre ríos,44.91
2017,1,formosa,19.84
2017,1,jujuy,22.76
2017,1,la pampa,62.67
2017,1,la rioja,16.2
2017,1,mendoza,31.84
2017,1,misiones,29.52
2017,1,neuquén,61.02
2017,1,río negro,46.03
2017,1,salta,32.58
2017,1,san juan,27.04
2017,1,san luis,9.55
2017,1,santa cruz,26.52
2017,1,santa fe,51.97
2017,1,santiago del estero,14.7
2017,1,tierra del fuego,68.92
2017,1,tucumán,37.9
2016,4,buenos aires,61.24
2016,4,capital federal,87.96
2016,4,catamarca,26.54
2016,4,chaco,28.79
2016,4,chubut,36.07
2016,4,córdoba,57.7
2016,4,corrientes,30.98
2016,4,entre ríos,45.21
2016,4,formosa,19.85
2016,4,jujuy,22.65
2016,4,la pampa,63.02
2016,4,la rioja,16.46
2016,4,mendoza,32.11
2016,4,misiones,29.72
2016,4,neuquén,60.87
2016,4,río negro,46.39
2016,4,salta,32.69
2016,4,san juan,27.29
2016,4,san luis,9.64
2016,4,santa cruz,27.05
2016,4,santa fe,52.19
2016,4,santiago del estero,15.07
2016,4,tierra del fuego,70.31
2016,4,tucumán,37.98
2016,3,buenos aires,60.14
2016,3,capital federal,88.1
2016,3,catamarca,26.48
2016,3,chaco,28.91
2016,3,chubut,36.18
2016,3,córdoba,58.24
2016,3,corrientes,31.07
2016,3,entre ríos,45.44
2016,3,formosa,18.64
2016,3,jujuy,22.61
2016,3,la pampa,61.73
2016,3,la rioja,17.07
2016,3,mendoza,32.09
2016,3,misiones,29.91
2016,3,neuquén,60.21
2016,3,río negro,46.39
2016,3,salta,32.96
2016,3,san juan,27.32
2016,3,san luis,9.63
2016,3,santa cruz,26.84
2016,3,santa fe,52.67
2016,3,santiago del estero,15.33
2016,3,tierra del fuego,68.94
2016,3,tucumán,37.9
2016,2,buenos aires,59.34
